id,name,artist,duration,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,lyrics,Language,label_1,score_1,label_2,score_2
2RTLIQRc8yogHh08waQDVa,I Know It's Over,Jeff Buckley,424666,53,0.306,0.83,0.243,4.05e-06,0.0452,-11.772,0.0364,63.562,0.187,"
Oh Mother, I can feel
The soil falling over my head
And as I climb into an empty bed
Oh well, enough said
I know it's over, still I cling
I don't know where else I can go
Over, over
Oh Mother, I can feel
The soil falling over my head

You see the sea wants to take me
The knife wants to slit me
Do you think you can help me?
Sad-veiled bride please be happy
Handsome groom, give her room
Loud, loutish lover, treat her kindly
Though she needs you
More than she loves you

I know it's over, still I cling
I don't know where else I can go
Over, over
You might also like
I know it's over
It never really began
But in my heart it was so real
And she even spoke to me and said, oh
""Well if you're so funny
Why are you on your own tonight?""
""And if you are so clever
Why are you on your own tonight?""
""And if you're so very entertaining
Why are you on your own tonight?""
""And if you're so very good looking
Why do you sleep alone tonight?""
I know: because tonight is just like any other night
That's why you're on your own tonight
With your triumphs and your charms
While they are in each other's arms

It's so easy to laugh, it's so easy to hate
It takes strength to be gentle and kind
Over, over, it's over, it's over
It's so easy to laugh, it's so easy to hate
It takes guts to be gentle and kind
Over, over
Love is natural and real
But not for you my love, not tonight my love
Love is natural and real
But not for such as you and I, my love
Oh Mother, I can feel
The soil falling over my head
Oh Mother, I can feel
The soil falling over my head
Oh Mother, I can feel
The soil falling over my head
Oh Mother, I can feel
The soil falling over my head

That's about it, let's go home
That was nice2Embed",en,LABEL_0,0.4826802611351013,LABEL_1,0.5173197388648987
6fTX2poT39Ucz6A7Tsqyg9,Hold On,Jet,242480,50,0.423,0.00704,0.755,4.38e-05,0.172,-5.343,0.0301,148.365,0.471,"You tried so hard to be someone
That you forget who you are
You tried to fill some emptiness
Till all you had spilled over
Now everything's so far away
That you don't know
Where you are
You are
When all that you wanted
And all that you have
Don't seem so much
For you to hold on to
For you to hold on to
For you to belong to
When it's hard to be yourself
It's not to be someone else
Still everything's so far away
That you forget where you are
You are
When all that you wanted
And all that you have
Don't seem so much
For you to hold on to
For you to hold on to
You might also likeHold on
Hold on
Hold on
Hold on
Hold on
Hold on
Hold on
Hold on
When all that you wanted
And all that you have
Don't seem so much
For you to hold on to
For you to hold on to
For you to hold on to
For you to belong to2Embed",en,LABEL_0,0.5375010371208191,LABEL_1,0.4624989926815033
5Qv2Nby1xTr9pQyjkrc94J,All I Need,Radiohead,228746,71,0.67,0.531,0.478,0.428,0.138,-8.689,0.0355,88.014,0.0997,"
I'm the next act waiting in the wings
I'm an animal trapped in your hot car
I am all the days that you choose to ignore

You are all I need
You're all I need
I'm in the middle of your picture
Lying in the reeds

I am a moth who just wants to share your light
I'm just an insect trying to get out of the night
I only stick with you because there are no others

You are all I need
You're all I need
I'm in the middle of your picture
Lying in the reeds

It's all wrong, it's all wrong, it's all wrong
It's alright,  it's alright,  it's alright
It's all wrong,  it's alright
It's alright,  it's alrightYou might also like53Embed",en,LABEL_0,0.48436999320983887,LABEL_1,0.5156300067901611
1mM2u5TRMdUKsIfZKEI6yJ,Last Flowers,Radiohead,266478,52,0.555,0.92,0.307,0.000769,0.112,-8.236,0.0295,75.727,0.286,"
Appliances have gone berserk
I cannot keep up
Treading on people's toes
Snot-nosed little punk

And I can't face the evening straight
You can offer me escape
Houses move and houses speak
If you take me there you'll get relief, relief
Relief, relief

And if I'm gonna talk
I just wanna talk
Please don't interrupt
Just sit back and listen

'Cause I can't face the evening straight
You can offer me escape
Houses move and houses speak
If you take me there you'll get relief, relief
Relief, relief
Relief, relief
You might also like
It's too much
Too bright
Too powerful
Too much
Too bright
Too powerful
Too much
Too bright
Too powerful
Too much
Too bright
Too powerful14Embed",en,LABEL_0,0.5313467383384705,LABEL_1,0.46865323185920715
07XaOyTS5hyaWiUK1Bc3bR,True Love Waits,Radiohead,283463,63,0.401,0.938,0.132,0.102,0.1,-15.569,0.0355,136.142,0.0381,"
I'll drown my beliefs
To have your babies
I'll dress like your niece
And wash your swollen feet

Just don't leave
Don't leave

I'm not living
I'm just killing time
Your tiny hands
Your crazy kitten smile

Just don't leave
Don't leave

And true love waits
In haunted attics
And true love lives
On lollipops and crisps
You might also like
Just don't leave
Don't leave74Embed",en,LABEL_0,0.5298298597335815,LABEL_1,0.47017011046409607
0SaRvx9eYudSCQYNjuCQKX,No Distance Left to Run,Blur,208266,54,0.408,0.722,0.208,0.0285,0.108,-14.751,0.0342,148.715,0.109,"
It's over
You don't need to tell me
I hope you're with someone who makes you feel safe
In your sleeping tonight
I won't kill myself trying to stay in your life
I got no distance left to run

When you see me
Please, turn your back and walk away
I don't want to see you 'cause I know the dreams that you keep
That's where we meet
And when you're coming down, think of me
I got no distance left to run

Oooh, oooh
Oooh, oooh
Oooh, oooh
Oooh

It's over
I knew it would end this way
I hope you're with someone who makes you feel
That this life, it's alive
One who settles down, stays around, spends more time with you
I got no distance left to run
See Blur LiveGet tickets as low as $94You might also like
I'm coming home
So cold
No more
Home
No more, no more, no more9Embed",en,LABEL_0,0.5555463433265686,LABEL_1,0.444453626871109
1O00a7AxVVYayBmZyM48S1,Friend,Maple Glider,257160,48,0.748,0.839,0.268,0.00265,0.126,-9.687,0.0299,118.017,0.193,"You were so fast
To believe in me
We were young back then
Tangled in the stars
But time moves so fast
I've served coffee in five different cities now
I'm not good at faking
But I'm not good at speaking out
I am quickly blending into all of my fear and doubt
Friend, you were on both sides
Pulling me up and dragging me down (and I know, it took time for me to say)
Friend, you were on both sides
Pulling me up and dragging me down (and I know, it took time for me)
It was early days in the band
We were making tour plans
I pulled out my costume during practice in your shed
You said don't wear that dress, we have to think about who we are now
Well I'm not good at faking
But it all changed in me somehow
I could not stop smiling as all the joy in me drained out
Friend, you were on both sides
Pulling me up and dragging me down (and I know, it took time for me to say)
Friend, you were on both sides
Pulling me up and dragging me down
You might also likeThere is a bridge between our birthdays at midnight
Somehow I can not bring myself to call
I was a terrible friend, I pushed you right to your end
You said your limit was drawn but I wanted more
I wanted more
Friend, I've been on both sides, pulling you up and tearing you down (and I know it took time for me to say)
Friend, I've been on both sides, pulling you up and tearing you down
I've been on both sides
Am I on both sides now?1Embed",en,LABEL_0,0.5099905729293823,LABEL_1,0.4900094270706177
7u1o2EXdRmfMHIAEnvshZo,Falling Man,Blonde Redhead,206800,40,0.531,0.0365,0.72,0.843,0.0933,-7.845,0.0431,152.348,0.175,"Tell me how you seek your man
And tell me all your secret spells
Tell me how you learn
To tell by his voice that he fell
I know a ghost will walk through walls
Yet I am just a man still learning how to fall
Try to re-imagine me
And I'll re-invent myself
Still I remember scenes
Of when you looked at someone else
I know a ghost can walk through the wall
Yet I am just a man still learning how to fall
If you start doubting me
Then I start to doubt myself
And never look through me
Cause I'll keep close to myself
I know a ghost can walk through the wall
Yet I am just a man still learning how to fall
I am what I am
And what I am is who I am
I know what I know
And all I know is that I fell
If only I could walk through walls
Then maybe I would tell you who I was
Yet I am just a man still learning how to fall
Yet I am just a man still learning how to fallSee Blonde Redhead LiveGet tickets as low as $55You might also likeEmbed",en,LABEL_0,0.5485672950744629,LABEL_1,0.45143264532089233
60MjXOSuE6NQoxlOcEe4FW,Silently,Blonde Redhead,237226,37,0.606,0.0586,0.956,0.249,0.101,-4.703,0.0439,119.913,0.687,"Silently, I wish to sail into your port, I am your sailor
Quietly, I drop my weight into your sea, I drop my anchor
I sway in your waves, I sing in your sleep
I stay till I'm in your life
I realize now you're not to be blamed my love
You didn't choose your name my love
You never crossed the seven seas
I realize now you're not to be blamed my love
You didn't choose your name my love
You never crossed the seven seas
Oh, sweet creature
I know exactly how you feel
Your clock is ticking, tick tack tick tack
Your heart is beating tum tum tum tum tum
Silently, I wish to sail into your port, I am your sailor
Quietly, I drop my weight into your sea, I drop my anchor
I realize now you're not to be blamed at all
You didn't choose your name my love
You die a little in my arm
I realize now you're not to be blamed at all
You didn't choose your name my love
We never crossed the seven seas
I realize now you die a little in my arm
Before you even taste my love
We never crossed the seven seas
I realize now you re not to be blamed at all
You didn't choose your name my love
You die a little in my arm
I realize nowSee Blonde Redhead LiveGet tickets as low as $55You might also like1Embed",en,LABEL_0,0.4452526867389679,LABEL_1,0.5547472834587097
1r2sFdtf7WQgwFdkqk6Bti,Parachute,Sean Ono Lennon,199320,46,0.538,0.555,0.532,7.27e-05,0.118,-9.61,0.0249,77.018,0.433,"Love is like an aero plane
You jump and then you pray
The lucky ones remain
In the clouds for days
If life is just a stage
Let's put on the best show
And let everyone know

Cause if I have to die tonight
I'd rather be with you
Cut the parachute before the dive
Baby don't you cry
You have to bring me down
We had some fun before we hit the ground
Love is like a hurricane
You know it's on the way
You think you can be brave
Underneath the waves
If life is just a dream
Which of us is dreaming
And who will wake up screaming
Cause if I have to die tonight
I'd rather be with you
Cut the parachute before the dive
Baby don't you cry
You have to bring me down
We had some fun before we hit the ground
You might also likeCause if I have to die tonight
I'd rather be with you
Cut the parachute before the dive
Baby don't you cry
You have to bring me down
We had some fun before we hit the ground
Cause if I have to die tonight
I'd rather it was you
Cut the parachute before the dive
Baby don't you cry
You have to bring me down
We had some fun before we hit the ground1Embed",en,LABEL_0,0.48461419343948364,LABEL_1,0.5153858065605164
1dxqk42KIlMyrSawZ5YjBE,KEEP IT UP,Rex Orange County,183000,60,0.708,0.292,0.477,1.75e-06,0.255,-7.297,0.0565,149.929,0.733,"
Every time I open my mouth
I have regrets in my mind every time
And no one seems to figure me out

I guess it's stress
It's making me feel so depressed
Most my life I've felt so tired
But every now and then when I try, I say

Keep it up and go on
You're only holding out for what you want
You no longer owe the strangers
It's enough, it's enough
Keep it up and go on
Yeah, you're only holding out for what you want
I know that it's so frustrating
It's enough, keep it up

Now I'm here and I wish that I wasn't
I'm in a place in front of a dozen people I'vе never met
And I don't know if this is corrеct
I guess I'm blessed
I never give myself respect
Most my life I'm asking why
But anytime I give it a try, I say

Keep it up and go on
You're only holding out for what you want
You no longer owe the strangers
It's enough, it's enough
Keep it up and go on
Yeah, you're only holding out for what you want
I know that it's so frustrating
It's enough, keep it up

Yeah, it's enough
I've really had enough
Paid the price, I'm done, no

Keep it up and go on
You're only holding out for what you want
You no longer owe the strangers
It's enough, it's enough
Keep it up and go on
Yeah, you're only holding out for what you want
I know that it's so frustrating
But it's enough, keep it up
See Rex Orange County LiveGet tickets as low as $49You might also like
It's enough, it's enough
Keep it up, keep it up
Ah-ah-ah-ah, no, no, mmh-mmh19Embed",en,LABEL_0,0.4672973155975342,LABEL_1,0.5327026844024658
6Pif6RkFoYzLygdqktus4Q,The Foundations of Decay,My Chemical Romance,360760,62,0.363,0.000582,0.67,0.548,0.317,-6.652,0.0552,150.15,0.198,"
See the man who stands upon the hill
He dreams of all the battles won
But fate had left its scars upon his face
With all the damage they had done

And so time with age
It turns the page
Let the flesh
Submit itself to gravity

Let our bodies lay, mark our hearts with shame
Let our blood in vain, you find God in pain
Now, if your convictions were a passing faith
May your ashes feed the river in the morning rays
And as the vermin crawls
We lay in the foundations of decay

He was there, the day the towers fell
And so he wandered down the road
And we would all build towers of our own
Only to watch the roots corrode
You might also like
But it's much too late
You're in the race
So we'll press
And press 'til you can't take it anymore

Let our bodies lay, mark our hearts with shame
Let our blood in vain, you find God in pain
And if, by his own hand, his spirit flies
Take his body as a relic to be canonized, now
And so he gets to die a saint
But she will always be the whore

(You look stressed out!)
Against faith (Cage all the animals)
Against all life ('Cause the message must be pure)
Against change (You can wander through the ruins)
We are plagued (But the poison is the cure)

You must fix your heart
And you must build an altar where it swells
When the storm it gains, and the sky it rains
Let it flood, let it flood, let it wash away
And as you stumble through your last crusade
Will you welcome your extinction in the morning rays?
And as the swarm it calls, we lay in the foundations
Yes, it comforts me much more
Yes, it comforts me much more
To lay in the foundations of decay
Get up, coward!73Embed",en,LABEL_0,0.49440282583236694,LABEL_1,0.5055971741676331
6LgJvl0Xdtc73RJ1mmpotq,Paranoid Android,Radiohead,387213,70,0.251,0.0377,0.848,0.00591,0.0545,-6.501,0.0579,163.709,0.207,"
Please, could you stop the noise?
I'm trying to get some rest
From all the unborn chicken voices
In my head

What's that?
(I may be paranoid, but not an android)
What's that?
(I may be paranoid, but not an android)

When I am king
You will be first against the wall
With your opinion
Which is of no consequence at all

What's that?
(I may be paranoid, but no android)
What's that?
(I may be paranoid, but no android)

Ambition makes you look pretty ugly
Kicking, squealing, Gucci little piggy
You don't remember, you don't remember
Why don't you remember my name?
Off with his head, man, off with his head, man
Why don't you remember my name?
I guess he does
You might also like
Rain down, rain down
Come on, rain down on me
From a great height
From a great height, height
Rain down, rain down
Come on, rain down on me
From a great height
From a great height, height
That's it, sir, you're leaving (Rain down)
The crackle of pigskin (Rain down)
The dust and the screaming (Come on, rain down)
The yuppies networking (On me)
The panic, the vomit (From a great height)
The panic, the vomit (From a great height)
God loves his children
God loves his children, yeah111Embed",en,LABEL_0,0.4604426920413971,LABEL_1,0.5395572781562805
383LM93rT5NdU2Le0qu4Xk,Hotel California - Spanish Mix,Gipsy Kings,346600,0,0.457,0.51,0.819,4.55e-05,0.111,-9.072,0.0486,102.102,0.514,"

Por el camino del desierto
El viento me despeina
Sube el aroma de colitas
Luna, luna de nadie
Ella de lo lejos
Una luz centela
La idea de mi estar
Te vi por la noche

Allí estaba a la entrada
Y las campanas a sonar
Y me digo yo a mí mismo
Esto apodo del cielo
Ella enciende una vela
Y muestra el camino
Se oyen voces en el corredor
Y yo entendí que dicen

Bienvenido al Hotel California
Such a lovely place (Such a lovely place)
Such a lovely place
Bienvenido al Hotel California
Such a lovely place (Such a lovely place)
Such a lovely place
See Gipsy Kings LiveGet tickets as low as $44You might also like

Ella al lado que brillaba
Tenía un Mercedes
Rodeada de chicos guapos
Ella llamaba amigos
Cuando viene despacio
Perfume de verano
Aquel era pa' recordar
Y otro pa' olvidar

Le pedí al capitán
Que sirve el vino
Y pedí con un amor
Tenido este alcohol
De este sesenta y nueve
Famosa y que llamando
Pues me va a despertar
La noche para decir

Bienvenido al Hotel California
Such a lovely place (Such a lovely place)
Such a lovely place
Bienvenido al Hotel California
Such a lovely place (Such a lovely place)
Such a lovely place
El espejo en el techo
Champaña en el hielo
Y ella dijo: ""Somos todos prisioneros""
Y en los cuartos principales
Hacen sus siestas
Atacan a la bestia con sus puñales
Pero no logran matar

Mi último recuerdo
Corría hacia la puerta
Debió encontrar el camino
Por donde había llegado
""Relaje"" dijo el portero
Por mí es honor recibir
Puede salir cuando quiere
Pero nunca haz de partir

Bienvenido al Hotel California
Such a lovely place (Such a lovely place)
Such a lovely place
Bienvenido al Hotel California
Such a lovely place (Such a lovely place)
Such a lovely placeEmbed",es,1 star,0.3456498682498932,2 stars,0.1824357807636261
2qhR4aymUGDfacDT6pzWf7,Fly Me To The Moon (In Other Words),Bobby Womack,128360,59,0.589,0.397,0.523,0.0217,0.0967,-11.12,0.0404,114.252,0.585,"Fly me
Fly me to the moon
And let me play among the stars
Let me see
Oh I want to see what spring is like
On Jupiter
On Jupiter and Mars
In other words, hold my hand
In other words, darling, I love  you
Fill
Fill my heart with song
I want to sing to you darling
For ever more baby
You are all I long for
All I worship and adore
Can't you see that I love you
I have trying to tell you
That I care for you darling
Fly fly fly fly fly fly fly fly to the moon
And let me play You might also likeEmbed",en,LABEL_0,0.5663110613822937,LABEL_1,0.4336889088153839
